edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
1996 Summer Olympics,24,ARU,Weightlifting,"Middleweight, Men",30104,Junior Faro,55126,21,,FALSE
2004 Summer Olympics,26,ARU,Weightlifting,"Middle-Heavyweight, Men",30341,Junior Faro,55126,19,,FALSE
2012 Summer Olympics,54,ARU,Weightlifting,"Super-Heavyweight, Men",331126,Carl Henriquez,120212,15,,FALSE
1988 Summer Olympics,22,ASA,Weightlifting,"Light-Heavyweight, Men",29933,Lopesi Faagu,55128,18,,FALSE
1988 Summer Olympics,22,ASA,Weightlifting,"Heavyweight II, Men",29960,Tauama Timoti,55129,16,,FALSE
1992 Summer Olympics,23,ASA,Weightlifting,"Middle-Heavyweight, Men",30032,Eric Brown,55127,21,,FALSE
1996 Summer Olympics,24,ASA,Weightlifting,"Middle-Heavyweight, Men",30123,Eric Brown,55127,22,,FALSE
2000 Summer Olympics,25,ASA,Weightlifting,"Super-Heavyweight, Men",30224,Alesana Sione,57140,20,,FALSE
2004 Summer Olympics,26,ASA,Weightlifting,"Heavyweight, Men",30350,Eleei Ilalio,104643,15,,FALSE
2016 Summer Olympics,59,ASA,Weightlifting,"Middle-Heavyweight, Men",354335,Tanumafili Jungblut,132451,DNF,,FALSE
2020 Summer Olympics,61,ASA,Weightlifting,"Heavyweight, Men",19002065,Tanumafili Jungblut,132451,13,,FALSE
1968 Summer Olympics,17,BIZ,Weightlifting,"Lightweight, Men",29413,Mario Mendoza,55278,19,,FALSE
1968 Summer Olympics,17,BAR,Weightlifting,"Bantamweight, Men",29384,Anthony Phillips,55232,DNF,,FALSE
1972 Summer Olympics,18,BAR,Weightlifting,"Bantamweight, Men",29502,Anthony Phillips,55232,DNF,,FALSE
1972 Summer Olympics,18,ALB,Weightlifting,"Featherweight, Men",29517,Ymer Pampuri,55081,9,,FALSE
1992 Summer Olympics,23,ALB,Weightlifting,"Lightweight, Men",30005,Fatmir Bushi,55079,11,,FALSE
1992 Summer Olympics,23,ALB,Weightlifting,"Lightweight, Men",30005,Sokol Bishanaku,55078,13,,FALSE
1992 Summer Olympics,23,ALB,Weightlifting,"Heavyweight II, Men",30050,Dedë Dekaj,55080,9,,FALSE
1996 Summer Olympics,24,ALB,Weightlifting,"Middleweight, Men",30104,Ilirian Suli,55082,14,,FALSE
2000 Summer Olympics,25,ALB,Weightlifting,"Middleweight, Men",30188,Ilirian Suli,55082,5,,FALSE
2004 Summer Olympics,26,ALB,Weightlifting,"Featherweight, Men",30305,Gert Trasha,103562,13,,FALSE
2004 Summer Olympics,26,ALB,Weightlifting,"Middleweight, Men",30323,Theoharis Trasha,104570,12,,FALSE
2008 Summer Olympics,53,ALB,Weightlifting,"Lightweight, Men",263015,Gert Trasha,103562,DNF,,FALSE
2008 Summer Olympics,53,ALB,Weightlifting,"Middleweight, Men",263024,Erkand Qerimaj,116361,13,,FALSE
2008 Summer Olympics,53,ALB,Weightlifting,"Lightweight, Women",263087,Romela Begaj,116259,5,,FALSE
2012 Summer Olympics,54,ALB,Weightlifting,"Lightweight, Men",331054,Briken Calja,121597,6,,FALSE
2012 Summer Olympics,54,ALB,Weightlifting,"Lightweight, Men",331054,Daniel Godelli,121593,DNF,,FALSE
